,close
2022/02/08,89.78
2022/02/09,90.03
2022/02/10,90.04
2022/02/11,93.9
2022/02/14,94.78
2022/02/15,92.1
2022/02/16,90.62
2022/02/17,91.68
2022/02/18,90.52
2022/02/21,92.83
2022/02/22,91.61
2022/02/23,92.24
2022/02/24,93
2022/02/25,91.94
2022/02/28,95.82
2022/03/01,106.34
2022/03/02,111.4
2022/03/03,108.05
2022/03/04,115
2022/03/07,120.32
2022/03/08,124.77
2022/03/09,109.53
2022/03/10,105.85
2022/03/11,109.09
2022/03/14,102.04
2022/03/15,95.18
2022/03/16,95.36
2022/03/17,103.62
2022/03/18,103.28
2022/03/21,110.93
2022/03/22,108.75
2022/03/23,114.35
2022/03/24,111.27
2022/03/25,112.6
2022/03/28,103.49
2022/03/29,105.16
2022/03/30,107.46
2022/03/31,101.2
2022/04/01,99.42
2022/04/04,103.65
2022/04/05,101.38
2022/04/06,96.97
2022/04/07,97.13
2022/04/08,97.9
2022/04/11,95.18
2022/04/12,100.98
2022/04/13,104.15
2022/04/14,106.54
2022/04/18,107.02
2022/04/19,102.4
2022/04/20,102.45
2022/04/21,104.03
2022/04/22,101.75
2022/04/25,98.62
2022/04/26,101.71
2022/04/27,102.09
2022/04/28,105.2
2022/04/29,104.11
2022/05/02,105.09
2022/05/03,103.53
2022/05/04,107.55
2022/05/05,108.61
2022/05/06,110.61
2022/05/09,102.35
2022/05/10,99.43
2022/05/11,105.59
2022/05/12,106.63
2022/05/13,110.16
2022/05/16,113.89
2022/05/17,113.66
2022/05/18,109.23
2022/05/19,109.27
2022/05/20,110.35
2022/05/23,110.59
2022/05/24,110.26
2022/05/25,110.74
2022/05/26,114.26
2022/05/27,115.07
2022/05/30,117.17
2022/05/31,115.26
2022/06/01,114.79
2022/06/02,117.55
2022/06/03,120.26
2022/06/06,119.4
2022/06/07,119.77
2022/06/08,122.41
2022/06/09,121.4
2022/06/10,120.47
2022/06/13,121.09
2022/06/14,119.07
2022/06/15,115.83
2022/06/16,117.06
2022/06/17,108.88
2022/06/20,108.77
2022/06/21,109.65
2022/06/22,104.3
2022/06/23,104.03
2022/06/24,107.06
2022/06/27,109.81
2022/06/28,111.84
2022/06/29,109.63
2022/06/30,106.01
2022/07/01,108.46
2022/07/04,110.66
2022/07/05,99.55
2022/07/06,98.13
2022/07/07,102.16
2022/07/08,104.8
2022/07/11,103.46
2022/07/12,95.64
2022/07/13,96.4
2022/07/14,96.47
,
,
